time,open,high,low,close,Volume,Volume MA
2020-09-08 00:00:00,1.18162,1.18198,1.18149,1.1816,1469,3671.15
2020-09-08 01:00:00,1.1816,1.18161,1.18125,1.18131,635,3604.75
2020-09-08 02:00:00,1.18131,1.18155,1.1812,1.18136,1672,3612.3
2020-09-08 03:00:00,1.18139,1.18141,1.18116,1.18127,1351,3507.3
2020-09-08 04:00:00,1.18123,1.18153,1.18113,1.18139,1086,3371.3
2020-09-08 05:00:00,1.18147,1.18203,1.18145,1.18161,1246,3299.6
2020-09-08 06:00:00,1.1816,1.18199,1.18158,1.18188,896,3268.2
2020-09-08 07:00:00,1.18187,1.18216,1.18051,1.18071,3429,3350.75
2020-09-08 08:00:00,1.1807,1.1809,1.17951,1.17971,4486,3430.35
2020-09-08 09:00:00,1.17972,1.18075,1.17968,1.18052,2422,3263.35
2020-09-08 10:00:00,1.18051,1.18112,1.18045,1.18084,1671,3039.7
2020-09-08 11:00:00,1.18085,1.18113,1.18066,1.18112,1423,2794.35
2020-09-08 12:00:00,1.18114,1.18121,1.17978,1.18112,3067,2661.05
2020-09-08 13:00:00,1.18109,1.18275,1.18091,1.18167,7601,2751.5
2020-09-08 14:00:00,1.18166,1.18214,1.18031,1.18168,7276,2905.65
2020-09-08 15:00:00,1.1817,1.18206,1.18048,1.18083,8424,3117.65
2020-09-08 16:00:00,1.18086,1.18152,1.17909,1.17935,9026,3335.4
2020-09-08 17:00:00,1.17935,1.18062,1.17777,1.18005,10153,3638.1
2020-09-08 18:00:00,1.18005,1.18054,1.17879,1.17948,8576,3906.85
2020-09-08 19:00:00,1.17952,1.18065,1.17815,1.18006,11180,4354.45
2020-09-08 20:00:00,1.18005,1.18025,1.17657,1.17774,14293,4995.65
2020-09-08 21:00:00,1.17776,1.18006,1.17729,1.17935,15025,5715.15
2020-09-08 22:00:00,1.17934,1.18018,1.17805,1.17875,10857,6174.4
2020-09-08 23:00:00,1.1788,1.18059,1.17876,1.1796,7292,6471.45
2020-09-09 00:00:00,1.1796,1.17985,1.17881,1.1793,4822,6658.25
2020-09-09 01:00:00,1.17931,1.17931,1.17776,1.17819,4770,6834.45
2020-09-09 02:00:00,1.17814,1.17855,1.17743,1.17789,6801,7129.7
